symbol,name,price,change,volume,last_update,status
1050,1050,16.96,-0.13
-0.76%,N/A,2025-12-24T17:04:14.906Z,OK
1020,1020,10.99,-0.07
-0.63%,N/A,2025-12-24T17:04:17.712Z,OK
1010,1010,26.60,-0.20
-0.75%,N/A,2025-12-24T17:04:20.122Z,OK
1060,1060,32.44,-0.16
-0.49%,N/A,2025-12-24T17:04:22.389Z,OK
1080,1080,21.50,-0.08
-0.37%,N/A,2025-12-24T17:04:24.762Z,OK
1120,1120,97.10,-0.85
-0.87%,N/A,2025-12-24T17:04:27.288Z,OK
2190,2190,31.46,-0.90
-2.78%,N/A,2025-12-24T17:04:29.618Z,OK
2030,2030,52.30,-0.15
-0.29%,N/A,2025-12-24T17:04:32.196Z,OK
2150,2150,36.78,-0.22
-0.59%,N/A,2025-12-24T17:04:34.520Z,OK
6010,6010,18.48,-0.07
-0.38%,N/A,2025-12-24T17:04:36.844Z,OK
6020,6020,16.11,-0.08
-0.49%,N/A,2025-12-24T17:04:39.184Z,OK
6040,6040,7.83,0.10
1.29%,N/A,2025-12-24T17:04:41.516Z,OK
2160,2160,16.07,-0.23
-1.41%,N/A,2025-12-24T17:04:43.854Z,OK
3010,3010,21.23,-0.07
-0.33%,N/A,2025-12-24T17:04:46.131Z,OK
3020,3020,24.04,-0.36
-1.48%,N/A,2025-12-24T17:04:48.466Z,OK
2170,2170,27.84,-0.20
-0.71%,N/A,2025-12-24T17:04:50.789Z,OK
3030,3030,34.66,34.66,N/A,2025-12-24T17:04:53.131Z,OK
3040,3040,41.84,-0.04
-0.10%,N/A,2025-12-24T17:04:55.459Z,OK
3050,3050,21.98,-0.12
-0.54%,N/A,2025-12-24T17:04:57.736Z,OK
3060,3060,14.29,0.04
0.28%,N/A,2025-12-24T17:05:00.082Z,OK
